id,date,discount,manufacturer_id,product,product_id,quantity,store_id,total_value,value
186,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
187,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
188,2019-06-03,1.0,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,2.0,3_8,27.96,14.48
189,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
190,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
191,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
192,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
193,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
194,2019-06-03,0.0,278,SAGU DR OETKER UVA CX 250 G,304,1.0,3_8,7.89,7.89
195,2019-06-03,0.0,3013,PAPEL HIG DUALETTE FD LV24 PG22 UN,174884,1.0,3_13,32.99,32.99
196,2019-06-03,0.0,42552,PAPEL HIG NEVE TQ SEDA FDN LV24 PG21 UN,210681,1.0,3_8,38.99,38.99
197,2019-06-03,0.0,42552,PAPEL HIG NEVE TQ SEDA FDN LV24 PG21 UN,210681,1.0,3_8,38.99,38.99
198,2019-06-03,0.0,42552,PAPEL HIG NEVE TQ SEDA FDN LV24 PG21 UN,210681,1.0,3_8,38.99,38.99
199,2019-06-03,0.0,3013,PAPEL HIG DUALETTE ULTRA FDN LV16 PG15 16x30 M,162474,1.0,3_8,19.29,19.29
200,2019-06-03,0.0,3013,PAPEL HIG DUALETTE ULTRA FDN LV16 PG15 16x30 M,162474,1.0,3_13,19.29,19.29
201,2019-06-03,0.0,28931,BATATA MC CAIN TRADICIONAL 2 KG,185322,1.0,3_8,17.98,17.98
202,2019-06-03,0.0,28931,BATATA MC CAIN TRADICIONAL 2 KG,185322,1.0,3_8,17.98,17.98
203,2019-06-03,0.0,28931,BATATA MC CAIN TRADICIONAL 2 KG,185322,1.0,3_8,17.98,17.98
204,2019-06-03,0.0,28931,BATATA MC CAIN TRADICIONAL 2 KG,185322,1.0,3_13,17.89,17.89
